Timestamp,Object,Confidence,Bounding Box
2025-02-28 19:27:58,person,0.77631295,"70.58026123046875, 52.10069274902344, 616.2150268554688, 478.6767578125"
2025-02-28 19:27:58,person,0.8712851,"79.03350830078125, 56.4833984375, 628.8988647460938, 479.06561279296875"
2025-02-28 19:27:58,person,0.7661572,"0.0753173828125, 168.38519287109375, 209.64328002929688, 477.97021484375"
2025-02-28 19:27:58,person,0.87654716,"80.67510986328125, 55.50885009765625, 630.2410888671875, 479.1065673828125"
2025-02-28 19:27:58,person,0.7656417,"0.0362091064453125, 167.85748291015625, 208.4608917236328, 478.02313232421875"
2025-02-28 19:27:58,person,0.88089937,"48.00799560546875, 51.48832702636719, 625.8104248046875, 479.34991455078125"
2025-02-28 19:27:58,person,0.7356055,"0.078521728515625, 167.20176696777344, 199.8802490234375, 477.7685546875"
2025-02-28 19:27:58,person,0.88089937,"48.00799560546875, 51.48832702636719, 625.8104248046875, 479.34991455078125"
2025-02-28 19:27:58,person,0.7356055,"0.078521728515625, 167.20176696777344, 199.8802490234375, 477.7685546875"
2025-02-28 19:27:58,person,0.8855537,"45.09759521484375, 51.87615966796875, 623.92333984375, 479.3980712890625"
2025-02-28 19:27:58,person,0.7456566,"0.0653839111328125, 167.5484619140625, 200.7484588623047, 478.161865234375"
2025-02-28 19:27:59,person,0.8824755,"50.40966796875, 52.26216125488281, 625.75048828125, 479.51593017578125"
2025-02-28 19:27:59,person,0.6993546,"0.1010284423828125, 167.35887145996094, 197.819580078125, 477.38671875"
2025-02-28 19:27:59,person,0.8824755,"50.40966796875, 52.26216125488281, 625.75048828125, 479.51593017578125"
2025-02-28 19:27:59,person,0.6993546,"0.1010284423828125, 167.35887145996094, 197.819580078125, 477.38671875"
2025-02-28 19:27:59,person,0.86563945,"66.6214599609375, 54.93763732910156, 637.694091796875, 479.3525390625"
2025-02-28 19:27:59,person,0.7018092,"0.1042327880859375, 168.3415985107422, 200.06517028808594, 477.63446044921875"
2025-02-28 19:27:59,person,0.85871583,"85.176513671875, 56.21807861328125, 633.48193359375, 479.752685546875"
2025-02-28 19:27:59,person,0.637018,"0.0966339111328125, 168.45986938476562, 203.41819763183594, 477.6130676269531"
2025-02-28 19:27:59,person,0.8643374,"67.0211181640625, 58.06634521484375, 637.6301879882812, 479.3466796875"
2025-02-28 19:27:59,person,0.6788158,"0.0, 167.81289672851562, 200.68203735351562, 478.1148376464844"
2025-02-28 19:27:59,person,0.87527525,"66.3310546875, 57.74761962890625, 636.9091796875, 479.3883056640625"
2025-02-28 19:27:59,person,0.713819,"0.1329498291015625, 167.1617431640625, 200.3241424560547, 478.362060546875"
2025-02-28 19:27:59,person,0.87309813,"60.64501953125, 57.649169921875, 635.767333984375, 479.35699462890625"
2025-02-28 19:27:59,person,0.6994188,"0.125732421875, 166.90679931640625, 197.0096435546875, 478.174072265625"
2025-02-28 19:27:59,person,0.87309813,"60.64501953125, 57.649169921875, 635.767333984375, 479.35699462890625"
